Country Name,Country Code,Region,Population,CO2/capita,"GDP/capita, PPP"
Guinea-Bissau,GNB,Africa,1970457.0,0.167473846479787,1970.32227789113
Equatorial Guinea,GNQ,Africa,1553031.0,3.44487644137984,16925.7879608535
Greece,GRC,Europe,10721582.0,5.59618906985928,31138.6056250146
Grenada,GRD,Americas,122724.0,2.68896070135444,16043.4797999894
Guatemala,GTM,Americas,16604026.0,1.16297092439764,9037.68837623543
Guyana,GUY,Americas,798753.0,3.56806159680473,13361.5732145529
Honduras,HND,Americas,9958829.0,1.02622509805408,5850.5828319154
Croatia,HRV,Europe,4065253.0,4.06370783264011,31587.9028867336
Haiti,HTI,Americas,11160438.0,0.297479358179563,3232.49563033632
Hungary,HUN,Europe,9771141.0,4.74663102989868,34541.063644116
Indonesia,IDN,Asia,269582878.0,2.2992559151159,12358.2422460634
India,IND,Asia,1383112050.0,1.77592267295201,6887.53834793046
Ireland,IRL,Europe,4934340.0,7.24514322077522,89670.8655744492
"Iran, Islamic Rep.",IRN,Asia,86564202.0,7.27795087587852,14678.7778788108
Iraq,IRQ,Asia,41563520.0,4.19983672120634,10733.9947111727
Iceland,ISL,Europe,360563.0,4.54844225751086,60076.8675980171
Israel,ISR,Asia,9054000.0,6.91959371834315,40475.6733125529
Italy,ITA,Europe,59729081.0,5.31131544170879,45799.1883207119
Jamaica,JAM,Americas,2813773.0,2.98176162161011,10676.7254679633
Jordan,JOR,Asia,10698683.0,2.30215243883444,9954.26840387235
Japan,JPN,Asia,126633000.0,8.54098020491546,42309.1766227467
Kazakhstan,KAZ,Asia,18513673.0,11.4569378323984,27463.9715463979
Kenya,KEN,Africa,50951450.0,0.43727903105104,4795.40361246334
Kyrgyz Republic,KGZ,Asia,6456200.0,1.55664325620875,5480.29390725587
Cambodia,KHM,Asia,16207746.0,0.99828812132025,4652.70816696785
Kiribati,KIR,Oceania,124241.0,0.724398576768367,2074.52696319364
St. Kitts and Nevis,KNA,Americas,47712.0,5.23977196512408,32511.2982903325
"Korea, Rep.",KOR,Asia,51764822.0,11.7993253802233,43410.2988074321
Kuwait,KWT,Asia,4441100.0,20.8619489599151,49311.6984646194
Lao PDR,LAO,Asia,7212053.0,2.59426810708029,8170.95838206982
Lebanon,LBN,Asia,5781907.0,4.83404536996868,17896.9432162934
Liberia,LBR,Africa,4985289.0,0.23669639765075,1517.07223894945
Libya,LBY,Africa,6569088.0,8.64655782310429,23486.5448646736
